timestamp,amount,hour,location,fraud_label
2023-01-13 06:00:00,72.25965119942354,6,C,0
2023-01-11 16:00:00,468.7158393387827,16,B,0
2023-01-16 00:00:00,1351.4969290325266,12,B,1
2023-01-15 21:00:00,297.030034823997,21,A,0
2023-01-11 08:00:00,482.1737887737339,8,A,0
2023-01-07 20:00:00,54.241987326660066,20,B,0
2023-01-21 20:00:00,352.0992398696751,20,B,0
2023-01-04 12:00:00,162.38133764067447,12,B,0
2023-01-03 06:00:00,302.9709896174317,6,C,0
2023-01-29 15:00:00,147.18975589353926,15,B,0
2023-01-24 00:00:00,280.4343509994979,0,C,0
2023-01-10 15:00:00,256.2921756215442,15,B,0
2023-01-04 14:00:00,367.5070273856514,14,C,0
2023-01-26 05:00:00,235.78159633603562,5,C,0
2023-01-06 11:00:00,118.83282713065782,11,B,0
2023-01-22 10:00:00,32.157148352032806,10,B,0
2023-01-03 17:00:00,275.92108074754174,17,C,0
2023-01-06 15:00:00,168.36943669017006,15,C,0
2023-01-10 18:00:00,105.6690640210418,18,A,0
2023-01-03 15:00:00,184.80913007985873,15,C,0
2023-01-14 16:00:00,215.60403058961705,16,C,0
2023-01-07 04:00:00,35.224588112494786,4,B,0
2023-01-18 21:00:00,67.36283804952687,21,B,0
2023-01-22 22:00:00,213.26155614545593,22,B,0
2023-01-10 19:00:00,364.0015364781376,19,C,0
2023-01-06 00:00:00,405.64567603039063,0,C,0
2023-01-18 23:00:00,383.1402095415614,23,C,0
2023-01-14 14:00:00,281.63348573058636,14,C,0
2023-01-19 14:00:00,493.14052127320673,14,A,0
2023-01-05 01:00:00,219.49509899568932,1,A,0
2023-01-14 22:00:00,32.54129459065885,22,B,0
2023-01-04 00:00:00,12.705837390565176,0,A,0
2023-01-14 17:00:00,131.38818485556715,17,C,0
2023-01-06 13:00:00,175.4314339877777,13,C,0
2023-01-18 00:00:00,453.6371684454392,0,A,0
2023-01-29 10:00:00,93.73491782113226,10,A,0
2023-01-09 19:00:00,349.0286468694197,19,B,0
2023-01-18 20:00:00,181.94835615051855,20,A,0
2023-01-02 15:00:00,225.67472193240465,15,C,0
2023-01-04 06:00:00,185.64820698669357,6,B,0
2023-01-16 00:00:00,4189.76112833645,16,B,1
2023-01-15 06:00:00,94.86891625590744,6,B,0
2023-01-09 07:00:00,392.1390174702357,7,B,0
2023-01-28 00:00:00,396.69390691759577,0,C,0
2023-01-03 01:00:00,100.57868320750825,1,C,0
2023-01-21 21:00:00,272.68721950861897,21,C,0
2023-01-10 23:00:00,96.78423290945398,23,C,0
2023-01-29 04:00:00,64.89906206234565,4,B,0
2023-01-04 09:00:00,315.41608214550337,9,C,0
2023-01-23 06:00:00,386.80383343845017,6,C,0
2023-01-25 15:00:00,324.02862495357516,15,A,0
2023-01-30 00:00:00,151.42897108772533,0,A,0
2023-01-23 01:00:00,433.71396436497605,1,C,0
2023-01-08 06:00:00,326.13466730063044,6,B,0
2023-01-01 10:00:00,20.086402204943198,10,B,0
2023-01-27 19:00:00,170.47370256717818,19,B,0
2023-01-21 00:00:00,318.40533268627865,0,A,0
2023-01-05 22:00:00,447.3539092600891,22,C,0
2023-01-19 02:00:00,51.212334996348744,2,A,0
2023-01-27 00:00:00,4455.821661026592,12,B,1
2023-01-14 19:00:00,381.34459412754086,19,A,0
2023-01-13 18:00:00,262.9871706675857,18,C,0
2023-01-08 13:00:00,65.60202540788865,13,C,0
2023-01-25 11:00:00,73.15106373621812,11,A,0
2023-01-28 11:00:00,289.6813692877668,11,A,0
2023-01-18 14:00:00,54.69099049385828,14,B,0
2023-01-15 13:00:00,316.6713586999758,13,C,0
2023-01-19 05:00:00,412.7114290522745,5,A,0
2023-01-14 20:00:00,17.052809428580375,20,A,0
2023-01-25 12:00:00,72.7424610893085,12,A,0
2023-01-05 05:00:00,321.8411015192524,5,A,0
2023-01-28 16:00:00,59.873411583997836,16,C,0
2023-01-22 11:00:00,22.919817503653483,11,C,0
2023-01-12 00:00:00,439.9128052446982,0,C,0
2023-01-13 23:00:00,48.44362685771032,23,C,0
2023-01-04 05:00:00,46.281879349704276,5,C,0
2023-01-02 07:00:00,93.55682060677285,7,A,0
2023-01-26 08:00:00,256.6744627188799,8,B,0
2023-01-09 18:00:00,278.8795567896272,18,C,0
2023-01-10 04:00:00,332.23031722716826,4,C,0
